# DEBUG Waiting for a keypress.
        27.07200 ms     0000034e ticks
       124.06400 ms     00000f25 ticks
        81.40800 ms     000009f0 ticks
       182.84800 ms     00001652 ticks
        33.47200 ms     00000416 ticks
       101.60000 ms     00000c67 ticks
        43.80800 ms     00000559 ticks
       142.14400 ms     0000115a ticks
        85.63200 ms     00000a74 ticks
       133.12000 ms     00001040 ticks
        20.80000 ms     0000028a ticks
       117.92000 ms     00000e65 ticks
        13.98400 ms     000001b5 ticks
       129.31200 ms     00000fc9 ticks
        68.89600 ms     00000869 ticks
       112.73600 ms     00000dc3 ticks
        52.16000 ms     0000065e ticks
        87.87200 ms     00000aba ticks
        37.53600 ms     00000495 ticks
       133.12000 ms     00001040 ticks
       340.60800 ms     00002994 ticks
       128.60800 ms     00000fb3 ticks
        85.60000 ms     00000a73 ticks
       137.63200 ms     000010cd ticks
        39.64800 ms     000004d7 ticks
       204.06400 ms     000018e9 ticks
        11.74400 ms     0000016f ticks
       124.73600 ms     00000f3a ticks
        54.27200 ms     000006a0 ticks
       148.96000 ms     0000122f ticks
       171.29600 ms     000014e9 ticks
       148.44800 ms     0000121f ticks
        12.00000 ms     00000177 ticks
       142.56000 ms     00001167 ticks
        20.80000 ms     0000028a ticks
       144.44800 ms     000011a2 ticks
        20.80000 ms     0000028a ticks
       133.12000 ms     00001040 ticks
        52.16000 ms     0000065e ticks
       124.06400 ms     00000f25 ticks
        20.83200 ms     0000028b ticks
       126.33600 ms     00000f6c ticks
       160.83200 ms     000013a2 ticks
       121.82400 ms     00000edf ticks
        31.23200 ms     000003d0 ticks
       110.49600 ms     00000d7d ticks
       152.51200 ms     0000129e ticks
       130.81600 ms     00000ff8 ticks
        21.24800 ms     00000298 ticks
        92.48000 ms     00000b4a ticks
       150.40000 ms     0000125c ticks
        44.83200 ms     00000579 ticks
       112.80000 ms     00000dc5 ticks
        74.30400 ms     00000912 ticks
        39.61600 ms     000004d6 ticks
        90.11200 ms     00000b00 ticks
        20.83200 ms     0000028b ticks
       120.32000 ms     00000eb0 ticks
        11.74400 ms     0000016f ticks
       122.46400 ms     00000ef3 ticks
        58.43200 ms     00000722 ticks
       120.00000 ms     00000ea6 ticks
        16.25600 ms     000001fc ticks
        81.47200 ms     000009f2 ticks
        31.23200 ms     000003d0 ticks
        99.45600 ms     00000c24 ticks
        18.46400 ms     00000241 ticks
       124.06400 ms     00000f25 ticks
        98.14400 ms     00000bfb ticks
        81.05600 ms     000009e5 ticks
        83.52000 ms     00000a32 ticks
        81.05600 ms     000009e5 ticks
        89.79200 ms     00000af6 ticks
        87.87200 ms     00000aba ticks
        37.53600 ms     00000495 ticks
       133.12000 ms     00001040 ticks
       127.39200 ms     00000f8d ticks
        96.89600 ms     00000bd4 ticks
        29.18400 ms     00000390 ticks
        90.36800 ms     00000b08 ticks
        18.46400 ms     00000241 ticks
        90.91200 ms     00000b19 ticks
        11.74400 ms     0000016f ticks
       127.00800 ms     00000f81 ticks
       150.43200 ms     0000125d ticks
       124.06400 ms     00000f25 ticks
       524.54400 ms     00004008 ticks
       151.23200 ms     00001276 ticks
       240.32000 ms     00001d56 ticks
       115.00800 ms     00000e0a ticks
        33.37600 ms     00000413 ticks
       157.76000 ms     00001342 ticks
        16.60800 ms     00000207 ticks
        92.44800 ms     00000b49 ticks
       493.24800 ms     00003c36 ticks
       126.33600 ms     00000f6c ticks
        33.34400 ms     00000412 ticks
       137.66400 ms     000010ce ticks
       848.48000 ms     00006793 ticks
       148.96000 ms     0000122f ticks
        43.80800 ms     00000559 ticks
       191.23200 ms     00001758 ticks
        11.48800 ms     00000167 ticks
        74.62400 ms     0000091c ticks
       112.80000 ms     00000dc5 ticks
       108.19200 ms     00000d35 ticks
        41.72800 ms     00000518 ticks
       142.14400 ms     0000115a ticks
        33.34400 ms     00000412 ticks
       105.95200 ms     00000cef ticks
        20.83200 ms     0000028b ticks
       110.43200 ms     00000d7b ticks
        26.14400 ms     00000331 ticks
       101.53600 ms     00000c65 ticks
       100.25600 ms     00000c3d ticks
       121.79200 ms     00000ede ticks
        27.07200 ms     0000034e ticks
       105.21600 ms     00000cd8 ticks
        11.48800 ms     00000167 ticks
        79.16800 ms     000009aa ticks
        23.58400 ms     000002e1 ticks
       105.56800 ms     00000ce3 ticks
       288.38400 ms     00002334 ticks
       139.93600 ms     00001115 ticks
        29.15200 ms     0000038f ticks
       101.44000 ms     00000c62 ticks
       108.60800 ms     00000d42 ticks
       158.04800 ms     0000134b ticks
        91.90400 ms     00000b38 ticks
       119.55200 ms     00000e98 ticks
        22.88000 ms     000002cb ticks
       110.52800 ms     00000d7e ticks
        33.34400 ms     00000412 ticks
       128.38400 ms     00000fac ticks
      1159.84000 ms     00008d95 ticks
       101.44000 ms     00000c62 ticks
       131.58400 ms     00001010 ticks
        49.40800 ms     00000608 ticks
       576.76800 ms     00004668 ticks
       468.86400 ms     0000393c ticks
        29.82400 ms     000003a4 ticks
        29.82400 ms     000003a4 ticks
        29.82400 ms     000003a4 ticks
        29.82400 ms     000003a4 ticks
        29.82400 ms     000003a4 ticks
        27.55200 ms     0000035d ticks
        29.82400 ms     000003a4 ticks
        29.82400 ms     000003a4 ticks
        29.82400 ms     000003a4 ticks
        29.82400 ms     000003a4 ticks
        17.66400 ms     00000228 ticks
       126.11200 ms     00000f65 ticks
        24.03200 ms     000002ef ticks
       223.61600 ms     00001b4c ticks
       146.68800 ms     000011e8 ticks
       357.34400 ms     00002b9f ticks
       155.74400 ms     00001303 ticks
        58.43200 ms     00000722 ticks
       126.17600 ms     00000f67 ticks
        18.94400 ms     00000250 ticks
        93.85600 ms     00000b75 ticks
        11.48800 ms     00000167 ticks
        81.02400 ms     000009e4 ticks
        89.82400 ms     00000af7 ticks
       112.73600 ms     00000dc3 ticks
        54.24000 ms     0000069f ticks
       101.44000 ms     00000c62 ticks
       775.29600 ms     00005ea4 ticks
        99.16800 ms     00000c1b ticks
        92.09600 ms     00000b3e ticks
        92.44800 ms     00000b49 ticks
        39.61600 ms     000004d6 ticks
       139.13600 ms     000010fc ticks
        11.48800 ms     00000167 ticks
       111.07200 ms     00000d8f ticks
       185.88800 ms     000016b1 ticks
       160.22400 ms     0000138f ticks
        79.87200 ms     000009c0 ticks
        49.18400 ms     00000601 ticks
        98.11200 ms     00000bfa ticks
       119.52000 ms     00000e97 ticks
       342.62400 ms     000029d3 ticks
        92.38400 ms     00000b47 ticks
        33.34400 ms     00000412 ticks
       153.47200 ms     000012bc ticks
      1048.86400 ms     00008009 ticks
        87.80800 ms     00000ab8 ticks
        55.45600 ms     000006c5 ticks
        72.22400 ms     000008d1 ticks
        18.43200 ms     00000240 ticks
       130.84800 ms     00000ff9 ticks
       419.96800 ms     00003344 ticks
       130.84800 ms     00000ff9 ticks
        20.80000 ms     0000028a ticks
       101.40800 ms     00000c61 ticks
        28.57600 ms     0000037d ticks
        99.26400 ms     00000c1e ticks
       388.41600 ms     00002f6a ticks
       119.55200 ms     00000e98 ticks
       123.20000 ms     00000f0a ticks
       139.90400 ms     00001114 ticks
        56.32000 ms     000006e0 ticks
       133.08800 ms     0000103f ticks
       480.60800 ms     00003aab ticks
       151.20000 ms     00001275 ticks
        20.76800 ms     00000289 ticks
       110.43200 ms     00000d7b ticks
        65.24800 ms     000007f7 ticks
        65.50400 ms     000007ff ticks
        16.22400 ms     000001fb ticks
       134.84800 ms     00001076 ticks
        11.96800 ms     00000176 ticks
       135.71200 ms     00001091 ticks
       146.24000 ms     000011da ticks
       112.96000 ms     00000dca ticks
        18.46400 ms     00000241 ticks
        74.27200 ms     00000911 ticks
        81.40800 ms     000009f0 ticks
       110.46400 ms     00000d7c ticks
        24.99200 ms     0000030d ticks
       148.92800 ms     0000122e ticks
        83.52000 ms     00000a32 ticks
       124.86400 ms     00000f3e ticks
        11.71200 ms     0000016e ticks
       101.12000 ms     00000c58 ticks
        11.45600 ms     00000166 ticks
       105.18400 ms     00000cd7 ticks
        11.48800 ms     00000167 ticks
       124.73600 ms     00000f3a ticks
       146.20800 ms     000011d9 ticks
       126.30400 ms     00000f6b ticks
        96.06400 ms     00000bba ticks
       139.84000 ms     00001112 ticks
       137.88800 ms     000010d5 ticks
       121.79200 ms     00000ede ticks
        79.29600 ms     000009ae ticks
        60.70400 ms     00000769 ticks
       108.60800 ms     00000d42 ticks
        83.29600 ms     00000a2b ticks
       202.65600 ms     000018bd ticks
       105.95200 ms     00000cef ticks
        52.16000 ms     0000065e ticks
       103.68000 ms     00000ca8 ticks
        47.96800 ms     000005db ticks
       108.06400 ms     00000d31 ticks
        31.16800 ms     000003ce ticks
        99.16800 ms     00000c1b ticks
        22.88000 ms     000002cb ticks
       101.12000 ms     00000c58 ticks
         8.51200 ms     0000010a ticks
       113.34400 ms     00000dd6 ticks
       148.28800 ms     0000121a ticks
       108.22400 ms     00000d36 ticks
        20.80000 ms     0000028a ticks
        42.59200 ms     00000533 ticks
       156.64000 ms     0000131f ticks
       143.90400 ms     00001191 ticks
        11.96800 ms     00000176 ticks
        90.20800 ms     00000b03 ticks
        87.68000 ms     00000ab4 ticks
       127.13600 ms     00000f85 ticks
        11.74400 ms     0000016f ticks
       117.92000 ms     00000e65 ticks
        47.96800 ms     000005db ticks
       133.12000 ms     00001040 ticks
        62.62400 ms     000007a5 ticks
       186.78400 ms     000016cd ticks
         9.66400 ms     0000012e ticks
       141.69600 ms     0000114c ticks
        11.48800 ms     00000167 ticks
       112.60800 ms     00000dbf ticks
        18.94400 ms     00000250 ticks
       103.84000 ms     00000cad ticks
       169.21600 ms     000014a8 ticks
       135.04000 ms     0000107c ticks
         8.54400 ms     0000010b ticks
        85.98400 ms     00000a7f ticks
        22.94400 ms     000002cd ticks
       114.59200 ms     00000dfd ticks
