# DEBUG Waiting for a keypress.
        94.01600 ms     00000b7a ticks
        58.43200 ms     00000722 ticks
        50.59200 ms     0000062d ticks
        78.81600 ms     0000099f ticks
        65.12000 ms     000007f3 ticks
        30.88000 ms     000003c5 ticks
        48.16000 ms     000005e1 ticks
        24.12800 ms     000002f2 ticks
        48.00000 ms     000005dc ticks
        94.72000 ms     00000b90 ticks
        41.72800 ms     00000518 ticks
        74.30400 ms     00000912 ticks
    116545.69600 ms     003792c5 ticks
       185.28000 ms     0000169e ticks
        89.72800 ms     00000af4 ticks
        24.09600 ms     000002f1 ticks
        66.84800 ms     00000829 ticks
        80.73600 ms     000009db ticks
        14.30400 ms     000001bf ticks
        40.09600 ms     000004e5 ticks
        83.58400 ms     00000a34 ticks
       101.47200 ms     00000c63 ticks
        23.71200 ms     000002e5 ticks
        90.27200 ms     00000b05 ticks
        31.26400 ms     000003d1 ticks
        63.00800 ms     000007b1 ticks
       184.00000 ms     00001676 ticks
        81.15200 ms     000009e8 ticks
       265.56800 ms     0000206b ticks
        72.32000 ms     000008d4 ticks
        18.46400 ms     00000241 ticks
       105.82400 ms     00000ceb ticks
        89.47200 ms     00000aec ticks
        42.08000 ms     00000523 ticks
        98.24000 ms     00000bfe ticks
        90.17600 ms     00000b02 ticks
        68.89600 ms     00000869 ticks
        69.82400 ms     00000886 ticks
       225.82400 ms     00001b91 ticks
        63.00800 ms     000007b1 ticks
        20.83200 ms     0000028b ticks
        63.00800 ms     000007b1 ticks
        83.55200 ms     00000a33 ticks
        78.88000 ms     000009a1 ticks
        27.10400 ms     0000034f ticks
        72.03200 ms     000008cb ticks
        50.59200 ms     0000062d ticks
        24.12800 ms     000002f2 ticks
       305.34400 ms     00002546 ticks
        69.82400 ms     00000886 ticks
       196.54400 ms     000017fe ticks
        76.60800 ms     0000095a ticks
       414.08000 ms     0000328c ticks
        47.16800 ms     000005c2 ticks
        83.58400 ms     00000a34 ticks
        63.00800 ms     000007b1 ticks
        98.20800 ms     00000bfd ticks
       158.08000 ms     0000134c ticks
        67.71200 ms     00000844 ticks
        37.82400 ms     0000049e ticks
        45.92000 ms     0000059b ticks
        72.00000 ms     000008ca ticks
        50.62400 ms     0000062e ticks
        21.85600 ms     000002ab ticks
        30.91200 ms     000003c6 ticks
        37.72800 ms     0000049b ticks
        50.11200 ms     0000061e ticks
        67.55200 ms     0000083f ticks
        75.20000 ms     0000092e ticks
        94.75200 ms     00000b91 ticks
        20.83200 ms     0000028b ticks
        62.43200 ms     0000079f ticks
        12.03200 ms     00000178 ticks
       122.14400 ms     00000ee9 ticks
        20.83200 ms     0000028b ticks
        87.93600 ms     00000abc ticks
        71.00800 ms     000008ab ticks
        81.12000 ms     000009e7 ticks
       397.34400 ms     00003081 ticks
        87.16800 ms     00000aa4 ticks
        11.48800 ms     00000167 ticks
        67.84000 ms     00000848 ticks
        94.04800 ms     00000b7b ticks
        72.06400 ms     000008cc ticks
        20.83200 ms     0000028b ticks
        58.49600 ms     00000724 ticks
       378.49600 ms     00002e34 ticks
        58.49600 ms     00000724 ticks
        66.84800 ms     00000829 ticks
        60.73600 ms     0000076a ticks
       133.76000 ms     00001054 ticks
        76.32000 ms     00000951 ticks
        16.64000 ms     00000208 ticks
        56.03200 ms     000006d7 ticks
       102.43200 ms     00000c81 ticks
        94.72000 ms     00000b90 ticks
        87.74400 ms     00000ab6 ticks
        83.36000 ms     00000a2d ticks
        38.36800 ms     000004af ticks
        51.52000 ms     0000064a ticks
       213.28000 ms     00001a09 ticks
        51.68000 ms     0000064f ticks
       100.28800 ms     00000c3e ticks
        83.39200 ms     00000a2e ticks
        41.72800 ms     00000518 ticks
        81.05600 ms     000009e5 ticks
        43.29600 ms     00000549 ticks
        42.17600 ms     00000526 ticks
        18.84800 ms     0000024d ticks
        60.38400 ms     0000075f ticks
        24.99200 ms     0000030d ticks
        87.84000 ms     00000ab9 ticks
        28.60800 ms     0000037e ticks
        62.91200 ms     000007ae ticks
        30.91200 ms     000003c6 ticks
        35.42400 ms     00000453 ticks
        43.00800 ms     00000540 ticks
        19.84000 ms     0000026c ticks
        20.83200 ms     0000028b ticks
        72.06400 ms     000008cc ticks
        50.08000 ms     0000061d ticks
        58.49600 ms     00000724 ticks
        94.04800 ms     00000b7b ticks
        65.21600 ms     000007f6 ticks
        43.29600 ms     00000549 ticks
        40.06400 ms     000004e4 ticks
        23.58400 ms     000002e1 ticks
        65.15200 ms     000007f4 ticks
        18.49600 ms     00000242 ticks
        53.92000 ms     00000695 ticks
        27.07200 ms     0000034e ticks
        90.20800 ms     00000b03 ticks
        33.37600 ms     00000413 ticks
        92.89600 ms     00000b57 ticks
        16.25600 ms     000001fc ticks
        65.56800 ms     00000801 ticks
       100.32000 ms     00000c3f ticks
        56.22400 ms     000006dd ticks
        66.84800 ms     00000829 ticks
        92.44800 ms     00000b49 ticks
       581.37600 ms     000046f8 ticks
        65.28000 ms     000007f8 ticks
       148.41600 ms     0000121e ticks
        58.49600 ms     00000724 ticks
        94.01600 ms     00000b7a ticks
        58.49600 ms     00000724 ticks
       388.99200 ms     00002f7c ticks
        58.49600 ms     00000724 ticks
       529.08800 ms     00004096 ticks
        53.95200 ms     00000696 ticks
        73.12000 ms     000008ed ticks
        63.00800 ms     000007b1 ticks
       495.61600 ms     00003c80 ticks
        85.66400 ms     00000a75 ticks
        29.18400 ms     00000390 ticks
        58.46400 ms     00000723 ticks
       142.17600 ms     0000115b ticks
        56.16000 ms     000006db ticks
        21.28000 ms     00000299 ticks
        35.52000 ms     00000456 ticks
        52.92800 ms     00000676 ticks
        43.74400 ms     00000557 ticks
        11.48800 ms     00000167 ticks
        51.90400 ms     00000656 ticks
        20.83200 ms     0000028b ticks
        84.19200 ms     00000a47 ticks
        11.74400 ms     0000016f ticks
        51.87200 ms     00000655 ticks
        50.46400 ms     00000629 ticks
        53.56800 ms     0000068a ticks
        20.83200 ms     0000028b ticks
        51.68000 ms     0000064f ticks
        64.73600 ms     000007e7 ticks
        60.76800 ms     0000076b ticks
        50.11200 ms     0000061e ticks
        85.63200 ms     00000a74 ticks
        29.21600 ms     00000391 ticks
        63.00800 ms     000007b1 ticks
        71.00800 ms     000008ab ticks
        51.68000 ms     0000064f ticks
       125.40800 ms     00000f4f ticks
        77.21600 ms     0000096d ticks
        14.01600 ms     000001b6 ticks
        51.90400 ms     00000656 ticks
        52.19200 ms     0000065f ticks
        74.33600 ms     00000913 ticks
        45.92000 ms     0000059b ticks
        72.03200 ms     000008cb ticks
        35.93600 ms     00000463 ticks
        72.57600 ms     000008dc ticks
        13.98400 ms     000001b5 ticks
        40.38400 ms     000004ee ticks
        87.74400 ms     00000ab6 ticks
        51.68000 ms     0000064f ticks
       196.51200 ms     000017fd ticks
       137.34400 ms     000010c4 ticks
        14.33600 ms     000001c0 ticks
        69.72800 ms     00000883 ticks
        75.20000 ms     0000092e ticks
        69.79200 ms     00000885 ticks
        62.68800 ms     000007a7 ticks
        84.00000 ms     00000a41 ticks
        14.01600 ms     000001b6 ticks
        70.14400 ms     00000890 ticks
       196.54400 ms     000017fe ticks
        62.94400 ms     000007af ticks
        55.52000 ms     000006c7 ticks
        21.79200 ms     000002a9 ticks
        21.15200 ms     00000295 ticks
        64.92800 ms     000007ed ticks
        52.19200 ms     0000065f ticks
        76.60800 ms     0000095a ticks
       154.68800 ms     000012e2 ticks
        66.84800 ms     00000829 ticks
        12.00000 ms     00000177 ticks
        56.00000 ms     000006d6 ticks
       108.70400 ms     00000d45 ticks
        69.79200 ms     00000885 ticks
       131.68000 ms     00001013 ticks
        83.39200 ms     00000a2e ticks
        75.23200 ms     0000092f ticks
        78.88000 ms     000009a1 ticks
        52.19200 ms     0000065f ticks
        83.32800 ms     00000a2c ticks
        21.31200 ms     0000029a ticks
        51.48800 ms     00000649 ticks
        85.66400 ms     00000a75 ticks
        56.16000 ms     000006db ticks
        38.40000 ms     000004b0 ticks
        42.40000 ms     0000052d ticks
       401.53600 ms     00003104 ticks
        84.89600 ms     00000a5d ticks
        11.52000 ms     00000168 ticks
        60.83200 ms     0000076d ticks
        18.84800 ms     0000024d ticks
        33.21600 ms     0000040e ticks
        35.45600 ms     00000454 ticks
        69.79200 ms     00000885 ticks
        94.08000 ms     00000b7c ticks
        76.54400 ms     00000958 ticks
        26.17600 ms     00000332 ticks
        74.27200 ms     00000911 ticks
        22.91200 ms     000002cc ticks
        67.16800 ms     00000833 ticks
        14.30400 ms     000001bf ticks
        53.76000 ms     00000690 ticks
        22.91200 ms     000002cc ticks
        83.36000 ms     00000a2d ticks
        53.08800 ms     0000067b ticks
        26.36800 ms     00000338 ticks
        21.15200 ms     00000295 ticks
        53.60000 ms     0000068b ticks
        20.83200 ms     0000028b ticks
        88.19200 ms     00000ac4 ticks
        18.46400 ms     00000241 ticks
        88.38400 ms     00000aca ticks
        16.25600 ms     000001fc ticks
        81.53600 ms     000009f4 ticks
       506.11200 ms     00003dc8 ticks
        74.33600 ms     00000913 ticks
       100.32000 ms     00000c3f ticks
        53.92000 ms     00000695 ticks
        85.66400 ms     00000a75 ticks
        69.82400 ms     00000886 ticks
       441.24800 ms     000035dd ticks
        78.91200 ms     000009a2 ticks
        31.26400 ms     000003d1 ticks
        63.00800 ms     000007b1 ticks
        89.82400 ms     00000af7 ticks
        85.66400 ms     00000a75 ticks
        56.38400 ms     000006e2 ticks
       100.03200 ms     00000c36 ticks
        11.74400 ms     0000016f ticks
        51.90400 ms     00000656 ticks
        68.92800 ms     0000086a ticks
        87.90400 ms     00000abb ticks
        66.84800 ms     00000829 ticks
        88.19200 ms     00000ac4 ticks
        18.46400 ms     00000241 ticks
        49.37600 ms     00000607 ticks
        21.28000 ms     00000299 ticks
        24.16000 ms     000002f3 ticks
       112.83200 ms     00000dc6 ticks
        78.81600 ms     0000099f ticks
        50.62400 ms     0000062e ticks
        52.22400 ms     00000660 ticks
        11.71200 ms     0000016e ticks
        84.19200 ms     00000a47 ticks
        11.74400 ms     0000016f ticks
        77.53600 ms     00000977 ticks
        13.98400 ms     000001b5 ticks
        81.12000 ms     000009e7 ticks
       361.79200 ms     00002c2a ticks
        67.52000 ms     0000083e ticks
       127.52000 ms     00000f91 ticks
        58.46400 ms     00000723 ticks
       106.59200 ms     00000d03 ticks
        83.36000 ms     00000a2d ticks
        64.76800 ms     000007e8 ticks
        58.46400 ms     00000723 ticks
        56.38400 ms     000006e2 ticks
        78.56000 ms     00000997 ticks
        16.64000 ms     00000208 ticks
        49.21600 ms     00000602 ticks
        20.80000 ms     0000028a ticks
        65.28000 ms     000007f8 ticks
        37.56800 ms     00000496 ticks
        72.03200 ms     000008cb ticks
        50.59200 ms     0000062d ticks
        21.82400 ms     000002aa ticks
        33.37600 ms     00000413 ticks
        51.29600 ms     00000643 ticks
       135.90400 ms     00001097 ticks
        62.81600 ms     000007ab ticks
        18.97600 ms     00000251 ticks
        44.67200 ms     00000574 ticks
        30.91200 ms     000003c6 ticks
        78.20800 ms     0000098c ticks
        16.64000 ms     00000208 ticks
        76.54400 ms     00000958 ticks
       437.08800 ms     0000355b ticks
        96.92800 ms     00000bd5 ticks
        21.28000 ms     00000299 ticks
        37.79200 ms     0000049d ticks
        75.23200 ms     0000092f ticks
        65.18400 ms     000007f5 ticks
        55.52000 ms     000006c7 ticks
        37.82400 ms     0000049e ticks
       562.49600 ms     000044aa ticks
       469.18400 ms     00003946 ticks
        29.85600 ms     000003a5 ticks
        29.85600 ms     000003a5 ticks
        29.82400 ms     000003a4 ticks
        29.85600 ms     000003a5 ticks
        29.82400 ms     000003a4 ticks
        29.85600 ms     000003a5 ticks
        27.58400 ms     0000035e ticks
        29.85600 ms     000003a5 ticks
        29.85600 ms     000003a5 ticks
        29.82400 ms     000003a4 ticks
        29.85600 ms     000003a5 ticks
        29.82400 ms     000003a4 ticks
        29.85600 ms     000003a5 ticks
        29.85600 ms     000003a5 ticks
        29.82400 ms     000003a4 ticks
        29.85600 ms     000003a5 ticks
        27.58400 ms     0000035e ticks
        29.85600 ms     000003a5 ticks
        29.82400 ms     000003a4 ticks
        29.85600 ms     000003a5 ticks
        29.85600 ms     000003a5 ticks
        29.82400 ms     000003a4 ticks
        29.85600 ms     000003a5 ticks
        29.85600 ms     000003a5 ticks
        29.82400 ms     000003a4 ticks
        29.85600 ms     000003a5 ticks
        29.85600 ms     000003a5 ticks
        27.58400 ms     0000035e ticks
        29.85600 ms     000003a5 ticks
        29.82400 ms     000003a4 ticks
        28.99200 ms     0000038a ticks
        91.96800 ms     00000b3a ticks
        30.84800 ms     000003c4 ticks
        75.20000 ms     0000092e ticks
        83.39200 ms     00000a2e ticks
        39.61600 ms     000004d6 ticks
        83.07200 ms     00000a24 ticks
         8.51200 ms     0000010a ticks
        58.75200 ms     0000072c ticks
        50.49600 ms     0000062a ticks
        28.57600 ms     0000037d ticks
        55.52000 ms     000006c7 ticks
        24.09600 ms     000002f1 ticks
        26.04800 ms     0000032e ticks
        46.78400 ms     000005b6 ticks
        20.80000 ms     0000028a ticks
        81.08800 ms     000009e6 ticks
        21.28000 ms     00000299 ticks
        58.30400 ms     0000071e ticks
        39.64800 ms     000004d7 ticks
        72.51200 ms     000008da ticks
        16.22400 ms     000001fb ticks
        95.16800 ms     00000b9e ticks
        67.58400 ms     00000840 ticks
        43.84000 ms     0000055a ticks
        25.08800 ms     00000310 ticks
        17.72800 ms     0000022a ticks
       183.96800 ms     00001675 ticks
        56.19200 ms     000006dc ticks
        24.99200 ms     0000030d ticks
        62.97600 ms     000007b0 ticks
        57.53600 ms     00000706 ticks
        17.66400 ms     00000228 ticks
        60.57600 ms     00000765 ticks
        67.48800 ms     0000083d ticks
        26.17600 ms     00000332 ticks
        46.91200 ms     000005ba ticks
        22.91200 ms     000002cc ticks
        67.52000 ms     0000083e ticks
        27.10400 ms     0000034f ticks
        76.57600 ms     00000959 ticks
        58.46400 ms     00000723 ticks
        97.21600 ms     00000bde ticks
        18.46400 ms     00000241 ticks
        60.70400 ms     00000769 ticks
        33.50400 ms     00000417 ticks
        74.27200 ms     00000911 ticks
        31.26400 ms     000003d1 ticks
        63.00800 ms     000007b1 ticks
        33.37600 ms     00000413 ticks
        74.94400 ms     00000926 ticks
        14.01600 ms     000001b6 ticks
        45.02400 ms     0000057f ticks
        54.30400 ms     000006a1 ticks
        74.27200 ms     00000911 ticks
        40.83200 ms     000004fc ticks
        26.46400 ms     0000033b ticks
        43.13600 ms     00000544 ticks
        28.32000 ms     00000375 ticks
         8.54400 ms     0000010b ticks
        60.99200 ms     00000772 ticks
       112.86400 ms     00000dc7 ticks
        79.48800 ms     000009b4 ticks
        14.01600 ms     000001b6 ticks
        60.99200 ms     00000772 ticks
       936.80000 ms     0000725b ticks
        65.12000 ms     000007f3 ticks
        52.92800 ms     00000676 ticks
        49.24800 ms     00000603 ticks
        20.80000 ms     0000028a ticks
        56.19200 ms     000006dc ticks
        62.65600 ms     000007a6 ticks
        65.88800 ms     0000080b ticks
        14.01600 ms     000001b6 ticks
        72.83200 ms     000008e4 ticks
        16.19200 ms     000001fa ticks
        49.40800 ms     00000608 ticks
        58.46400 ms     00000723 ticks
        65.28000 ms     000007f8 ticks
        43.80800 ms     00000559 ticks
        81.37600 ms     000009ef ticks
        18.46400 ms     00000241 ticks
        70.04800 ms     0000088d ticks
        18.49600 ms     00000242 ticks
        58.46400 ms     00000723 ticks
        20.83200 ms     0000028b ticks
        65.24800 ms     000007f7 ticks
        66.81600 ms     00000828 ticks
        62.97600 ms     000007b0 ticks
        21.28000 ms     00000299 ticks
        26.40000 ms     00000339 ticks
        71.04000 ms     000008ac ticks
        74.33600 ms     00000913 ticks
        50.08000 ms     0000061d ticks
        60.73600 ms     0000076a ticks
       140.03200 ms     00001118 ticks
        49.37600 ms     00000607 ticks
        45.72800 ms     00000595 ticks
        35.80800 ms     0000045f ticks
        18.46400 ms     00000241 ticks
        58.43200 ms     00000722 ticks
        20.83200 ms     0000028b ticks
        65.28000 ms     000007f8 ticks
        83.52000 ms     00000a32 ticks
        94.72000 ms     00000b90 ticks
        21.28000 ms     00000299 ticks
        44.67200 ms     00000574 ticks
        77.24800 ms     0000096e ticks
        93.28000 ms     00000b63 ticks
        11.74400 ms     0000016f ticks
        88.35200 ms     00000ac9 ticks
        20.80000 ms     0000028a ticks
        72.06400 ms     000008cc ticks
       158.84800 ms     00001364 ticks
        78.84800 ms     000009a0 ticks
        20.80000 ms     0000028a ticks
        72.09600 ms     000008cd ticks
       483.04000 ms     00003af7 ticks
        70.20800 ms     00000892 ticks
        16.28800 ms     000001fd ticks
        67.10400 ms     00000831 ticks
         9.60000 ms     0000012c ticks
        35.48800 ms     00000455 ticks
       108.64000 ms     00000d43 ticks
        42.65600 ms     00000535 ticks
       181.85600 ms     00001633 ticks
        74.30400 ms     00000912 ticks
        89.85600 ms     00000af8 ticks
        89.82400 ms     00000af7 ticks
         8.54400 ms     0000010b ticks
        65.53600 ms     00000800 ticks
        20.83200 ms     0000028b ticks
        86.11200 ms     00000a83 ticks
        16.28800 ms     000001fd ticks
        63.23200 ms     000007b8 ticks
        21.15200 ms     00000295 ticks
        46.72000 ms     000005b4 ticks
        26.17600 ms     00000332 ticks
        21.82400 ms     000002aa ticks
        23.58400 ms     000002e1 ticks
        67.16800 ms     00000833 ticks
        43.80800 ms     00000559 ticks
        69.28000 ms     00000875 ticks
        11.96800 ms     00000176 ticks
        74.30400 ms     00000912 ticks
        24.99200 ms     0000030d ticks
        69.79200 ms     00000885 ticks
        35.48800 ms     00000455 ticks
        58.46400 ms     00000723 ticks
        64.73600 ms     000007e7 ticks
        74.33600 ms     00000913 ticks
        20.83200 ms     0000028b ticks
        65.28000 ms     000007f8 ticks
       276.03200 ms     000021b2 ticks
        53.92000 ms     00000695 ticks
        94.04800 ms     00000b7b ticks
        33.50400 ms     00000417 ticks
        33.50400 ms     00000417 ticks
        99.32800 ms     00000c20 ticks
        62.68800 ms     000007a7 ticks
        26.40000 ms     00000339 ticks
       110.75200 ms     00000d85 ticks
        71.32800 ms     000008b5 ticks
        11.48800 ms     00000167 ticks
        77.21600 ms     0000096d ticks
        18.49600 ms     00000242 ticks
        88.16000 ms     00000ac3 ticks
        18.46400 ms     00000241 ticks
        42.62400 ms     00000534 ticks
        29.18400 ms     00000390 ticks
        65.24800 ms     000007f7 ticks
        29.21600 ms     00000391 ticks
        88.54400 ms     00000acf ticks
        14.01600 ms     000001b6 ticks
        70.11200 ms     0000088f ticks
        94.01600 ms     00000b7a ticks
        78.88000 ms     000009a1 ticks
        20.80000 ms     0000028a ticks
        87.93600 ms     00000abc ticks
        24.99200 ms     0000030d ticks
        78.84800 ms     000009a0 ticks
        33.37600 ms     00000413 ticks
        63.00800 ms     000007b1 ticks
       217.44000 ms     00001a8b ticks
        85.63200 ms     00000a74 ticks
        74.62400 ms     0000091c ticks
        19.80800 ms     0000026b ticks
        20.83200 ms     0000028b ticks
        81.12000 ms     000009e7 ticks
        64.73600 ms     000007e7 ticks
        76.54400 ms     00000958 ticks
        23.71200 ms     000002e5 ticks
        93.28000 ms     00000b63 ticks
        11.71200 ms     0000016e ticks
       108.32000 ms     00000d39 ticks
        20.83200 ms     0000028b ticks
        90.17600 ms     00000b02 ticks
        20.80000 ms     0000028a ticks
        49.44000 ms     00000609 ticks
        73.12000 ms     000008ed ticks
        87.87200 ms     00000aba ticks
        20.83200 ms     0000028b ticks
        81.12000 ms     000009e7 ticks
        31.29600 ms     000003d2 ticks
        58.46400 ms     00000723 ticks
       123.29600 ms     00000f0d ticks
        63.00800 ms     000007b1 ticks
       102.40000 ms     00000c80 ticks
        76.60800 ms     0000095a ticks
        25.02400 ms     0000030e ticks
        58.43200 ms     00000722 ticks
        68.96000 ms     0000086b ticks
        67.42400 ms     0000083b ticks
        20.80000 ms     0000028a ticks
        74.14400 ms     0000090d ticks
        26.14400 ms     00000331 ticks
        73.44000 ms     000008f7 ticks
        11.45600 ms     00000166 ticks
        38.11200 ms     000004a7 ticks
        62.65600 ms     000007a6 ticks
        49.37600 ms     00000607 ticks
        27.13600 ms     00000350 ticks
        96.96000 ms     00000bd6 ticks
        31.26400 ms     000003d1 ticks
        42.62400 ms     00000534 ticks
        85.66400 ms     00000a75 ticks
        67.52000 ms     0000083e ticks
        45.92000 ms     0000059b ticks
        76.57600 ms     00000959 ticks
        25.02400 ms     0000030e ticks
        85.21600 ms     00000a67 ticks
        14.30400 ms     000001bf ticks
        58.30400 ms     0000071e ticks
        21.12000 ms     00000294 ticks
        57.79200 ms     0000070e ticks
         8.51200 ms     0000010a ticks
       102.04800 ms     00000c75 ticks
       123.29600 ms     00000f0d ticks
        76.60800 ms     0000095a ticks
        89.82400 ms     00000af7 ticks
       137.08800 ms     000010bc ticks
         9.66400 ms     0000012e ticks
        78.84800 ms     000009a0 ticks
       100.28800 ms     00000c3e ticks
        60.73600 ms     0000076a ticks
       286.46400 ms     000022f8 ticks
        67.52000 ms     0000083e ticks
        27.07200 ms     0000034e ticks
        90.14400 ms     00000b01 ticks
        38.40000 ms     000004b0 ticks
        26.40000 ms     00000339 ticks
       313.66400 ms     0000264a ticks
        69.82400 ms     00000886 ticks
        20.80000 ms     0000028a ticks
        69.79200 ms     00000885 ticks
        22.91200 ms     000002cc ticks
        58.49600 ms     00000724 ticks
        27.07200 ms     0000034e ticks
        69.79200 ms     00000885 ticks
       114.94400 ms     00000e08 ticks
        76.32000 ms     00000951 ticks
        16.64000 ms     00000208 ticks
        56.03200 ms     000006d7 ticks
       106.59200 ms     00000d03 ticks
        76.57600 ms     00000959 ticks
        25.02400 ms     0000030e ticks
        85.60000 ms     00000a73 ticks
        33.50400 ms     00000417 ticks
        85.21600 ms     00000a67 ticks
        14.24000 ms     000001bd ticks
        71.93600 ms     000008c8 ticks
        18.46400 ms     00000241 ticks
        69.82400 ms     00000886 ticks
        75.20000 ms     0000092e ticks
        69.76000 ms     00000884 ticks
        43.29600 ms     00000549 ticks
        62.88000 ms     000007ad ticks
        27.07200 ms     0000034e ticks
        65.31200 ms     000007f9 ticks
        39.61600 ms     000004d6 ticks
        90.84800 ms     00000b17 ticks
        14.01600 ms     000001b6 ticks
        70.11200 ms     0000088f ticks
        21.12000 ms     00000294 ticks
        60.32000 ms     0000075d ticks
        21.28000 ms     00000299 ticks
        46.94400 ms     000005bb ticks
        20.83200 ms     0000028b ticks
        85.63200 ms     00000a74 ticks
       150.49600 ms     0000125f ticks
        87.93600 ms     00000abc ticks
        20.83200 ms     0000028b ticks
        65.24800 ms     000007f7 ticks
        58.49600 ms     00000724 ticks
        67.52000 ms     0000083e ticks
       119.13600 ms     00000e8b ticks
        65.88800 ms     0000080b ticks
        14.01600 ms     000001b6 ticks
        94.30400 ms     00000b83 ticks
        11.48800 ms     00000167 ticks
        87.90400 ms     00000abb ticks
        20.83200 ms     0000028b ticks
        78.68800 ms     0000099b ticks
        31.00800 ms     000003c9 ticks
        60.54400 ms     00000764 ticks
        37.53600 ms     00000495 ticks
        69.76000 ms     00000884 ticks
        45.72800 ms     00000595 ticks
        58.30400 ms     0000071e ticks
        23.58400 ms     000002e1 ticks
        89.82400 ms     00000af7 ticks
        75.20000 ms     0000092e ticks
        81.05600 ms     000009e5 ticks
        21.31200 ms     0000029a ticks
        37.79200 ms     0000049d ticks
        77.28000 ms     0000096f ticks
        17.63200 ms     00000227 ticks
        72.41600 ms     000008d7 ticks
        78.01600 ms     00000986 ticks
        33.50400 ms     00000417 ticks
        54.20800 ms     0000069e ticks
        16.19200 ms     000001fa ticks
        60.73600 ms     0000076a ticks
        22.94400 ms     000002cd ticks
        76.57600 ms     00000959 ticks
        24.99200 ms     0000030d ticks
        96.80000 ms     00000bd1 ticks
        18.97600 ms     00000251 ticks
        72.00000 ms     000008ca ticks
        83.58400 ms     00000a34 ticks
        78.84800 ms     000009a0 ticks
        54.27200 ms     000006a0 ticks
        94.08000 ms     00000b7c ticks
         9.66400 ms     0000012e ticks
        37.63200 ms     00000498 ticks
        18.88000 ms     0000024e ticks
        58.08000 ms     00000717 ticks
       117.05600 ms     00000e4a ticks
        33.53600 ms     00000418 ticks
       261.37600 ms     00001fe8 ticks
        60.73600 ms     0000076a ticks
       104.44800 ms     00000cc0 ticks
        87.90400 ms     00000abb ticks
        92.64000 ms     00000b4f ticks
        14.40000 ms     000001c2 ticks
        67.64800 ms     00000842 ticks
        17.69600 ms     00000229 ticks
       236.22400 ms     00001cd6 ticks
        74.36800 ms     00000914 ticks
        20.80000 ms     0000028a ticks
        42.59200 ms     00000533 ticks
        45.69600 ms     00000594 ticks
        46.94400 ms     000005bb ticks
        41.72800 ms     00000518 ticks
        69.79200 ms     00000885 ticks
        52.19200 ms     0000065f ticks
        63.00800 ms     000007b1 ticks
       169.34400 ms     000014ac ticks
       219.23200 ms     00001ac3 ticks
        87.74400 ms     00000ab6 ticks
        87.93600 ms     00000abc ticks
       121.21600 ms     00000ecc ticks
        85.66400 ms     00000a75 ticks
        20.83200 ms     0000028b ticks
        53.88800 ms     00000694 ticks
        40.83200 ms     000004fc ticks
        40.09600 ms     000004e5 ticks
        37.53600 ms     00000495 ticks
        76.60800 ms     0000095a ticks
        27.10400 ms     0000034f ticks
        63.00800 ms     000007b1 ticks
        89.85600 ms     00000af8 ticks
        78.88000 ms     000009a1 ticks
       173.53600 ms     0000152f ticks
        60.28800 ms     0000075c ticks
        40.16000 ms     000004e7 ticks
        40.09600 ms     000004e5 ticks
        20.80000 ms     0000028a ticks
        69.82400 ms     00000886 ticks
        54.30400 ms     000006a1 ticks
        49.40800 ms     00000608 ticks
       102.40000 ms     00000c80 ticks
        56.16000 ms     000006db ticks
        43.26400 ms     00000548 ticks
        49.82400 ms     00000615 ticks
        13.98400 ms     000001b5 ticks
        60.73600 ms     0000076a ticks
        45.92000 ms     0000059b ticks
        63.00800 ms     000007b1 ticks
       361.79200 ms     00002c2a ticks
        71.61600 ms     000008be ticks
        23.68000 ms     000002e4 ticks
        53.76000 ms     00000690 ticks
        48.00000 ms     000005dc ticks
        67.48800 ms     0000083d ticks
        70.17600 ms     00000891 ticks
        21.82400 ms     000002aa ticks
        26.01600 ms     0000032d ticks
        35.74400 ms     0000045d ticks
        18.46400 ms     00000241 ticks
        67.52000 ms     0000083e ticks
        31.29600 ms     000003d2 ticks
        85.66400 ms     00000a75 ticks
        39.64800 ms     000004d7 ticks
        65.21600 ms     000007f6 ticks
        33.50400 ms     00000417 ticks
        21.88800 ms     000002ac ticks
        48.06400 ms     000005de ticks
        26.04800 ms     0000032e ticks
         8.51200 ms     0000010a ticks
        70.40000 ms     00000898 ticks
        18.46400 ms     00000241 ticks
        38.08000 ms     000004a6 ticks
        33.50400 ms     00000417 ticks
        24.09600 ms     000002f1 ticks
        33.34400 ms     00000412 ticks
        24.09600 ms     000002f1 ticks
        21.28000 ms     00000299 ticks
        60.64000 ms     00000767 ticks
        64.73600 ms     000007e7 ticks
       101.95200 ms     00000c72 ticks
        16.25600 ms     000001fc ticks
        86.08000 ms     00000a82 ticks
        72.48000 ms     000008d9 ticks
        49.28000 ms     00000604 ticks
        18.49600 ms     00000242 ticks
        61.37600 ms     0000077e ticks
        14.01600 ms     000001b6 ticks
       149.88800 ms     0000124c ticks
        48.00000 ms     000005dc ticks
       101.34400 ms     00000c5f ticks
        18.97600 ms     00000251 ticks
        92.54400 ms     00000b4c ticks
       572.99200 ms     000045f2 ticks
        67.48800 ms     0000083d ticks
        23.74400 ms     000002e6 ticks
        56.03200 ms     000006d7 ticks
        73.15200 ms     000008ee ticks
        78.84800 ms     000009a0 ticks
        33.37600 ms     00000413 ticks
        96.99200 ms     00000bd7 ticks
       123.32800 ms     00000f0e ticks
        81.12000 ms     000009e7 ticks
       108.70400 ms     00000d45 ticks
